LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDP,TOT,USD_CAP,A,1970,4638.888936,
AUS,GDP,TOT,USD_CAP,A,1971,4849.919426,
AUS,GDP,TOT,USD_CAP,A,1972,5195.435143,
AUS,GDP,TOT,USD_CAP,A,1973,5779.516501,
AUS,GDP,TOT,USD_CAP,A,1974,6228.471482,
AUS,GDP,TOT,USD_CAP,A,1975,6919.657558,
AUS,GDP,TOT,USD_CAP,A,1976,7376.230734,
AUS,GDP,TOT,USD_CAP,A,1977,7706.213573,
AUS,GDP,TOT,USD_CAP,A,1978,8529.813526,
AUS,GDP,TOT,USD_CAP,A,1979,9429.932785,
AUS,GDP,TOT,USD_CAP,A,1980,10448.46518,
AUS,GDP,TOT,USD_CAP,A,1981,11922.77926,
AUS,GDP,TOT,USD_CAP,A,1982,11957.27114,
AUS,GDP,TOT,USD_CAP,A,1983,12739.97025,
AUS,GDP,TOT,USD_CAP,A,1984,13563.24343,
AUS,GDP,TOT,USD_CAP,A,1985,14468.52587,
AUS,GDP,TOT,USD_CAP,A,1986,14952.07856,
AUS,GDP,TOT,USD_CAP,A,1987,16010.94334,
AUS,GDP,TOT,USD_CAP,A,1988,17079.29336,
AUS,GDP,TOT,USD_CAP,A,1989,17782.18755,
AUS,GDP,TOT,USD_CAP,A,1990,17786.97831,
AUS,GDP,TOT,USD_CAP,A,1991,18126.138,
AUS,GDP,TOT,USD_CAP,A,1992,19094.49678,
AUS,GDP,TOT,USD_CAP,A,1993,20118.48044,
AUS,GDP,TOT,USD_CAP,A,1994,21349.56528,
AUS,GDP,TOT,USD_CAP,A,1995,22353.99456,
AUS,GDP,TOT,USD_CAP,A,1996,23220.09089,
AUS,GDP,TOT,USD_CAP,A,1997,24403.02172,
AUS,GDP,TOT,USD_CAP,A,1998,25630.46874,
AUS,GDP,TOT,USD_CAP,A,1999,27098.22128,
AUS,GDP,TOT,USD_CAP,A,2000,28252.62989,
AUS,GDP,TOT,USD_CAP,A,2001,29493.21486,
AUS,GDP,TOT,USD_CAP,A,2002,30740.9629,
AUS,GDP,TOT,USD_CAP,A,2003,32248.25584,
AUS,GDP,TOT,USD_CAP,A,2004,33865.90651,
AUS,GDP,TOT,USD_CAP,A,2005,35570.80802,
AUS,GDP,TOT,USD_CAP,A,2006,37842.93398,
AUS,GDP,TOT,USD_CAP,A,2007,39596.04008,
AUS,GDP,TOT,USD_CAP,A,2008,40094.83321,
AUS,GDP,TOT,USD_CAP,A,2009,41614.09072,
AUS,GDP,TOT,USD_CAP,A,2010,42787.06596,
AUS,GDP,TOT,USD_CAP,A,2011,44419.30975,
AUS,GDP,TOT,USD_CAP,A,2012,43879.18036,
AUS,GDP,TOT,USD_CAP,A,2013,47761.21406,
AUS,GDP,TOT,USD_CAP,A,2014,47644.76279,
AUS,GDP,TOT,USD_CAP,A,2015,47317.2507,
AUS,GDP,TOT,USD_CAP,A,2016,50237.79443,
AUS,GDP,TOT,USD_CAP,A,2017,50853.61543,
AUS,GDP,TOT,USD_CAP,A,2018,53083.29819,
AUS,GDP,TOT,USD_CAP,A,2019,53078.96537,
AUS,GDP,TOT,USD_CAP,A,2020,51742.5742,E
CAN,GDP,TOT,USD_CAP,A,1970,4589.396803,
CAN,GDP,TOT,USD_CAP,A,1971,4949.149039,
CAN,GDP,TOT,USD_CAP,A,1972,5384.686758,
CAN,GDP,TOT,USD_CAP,A,1973,5994.278172,
CAN,GDP,TOT,USD_CAP,A,1974,6654.461387,
CAN,GDP,TOT,USD_CAP,A,1975,7270.201971,
CAN,GDP,TOT,USD_CAP,A,1976,8015.058731,
CAN,GDP,TOT,USD_CAP,A,1977,8703.305805,
CAN,GDP,TOT,USD_CAP,A,1978,9562.948312,
CAN,GDP,TOT,USD_CAP,A,1979,10634.91253,
CAN,GDP,TOT,USD_CAP,A,1980,11693.73635,
CAN,GDP,TOT,USD_CAP,A,1981,13082.55547,
CAN,GDP,TOT,USD_CAP,A,1982,13289.05397,
CAN,GDP,TOT,USD_CAP,A,1983,14029.42252,
CAN,GDP,TOT,USD_CAP,A,1984,15249.74726,
CAN,GDP,TOT,USD_CAP,A,1985,16327.42117,
CAN,GDP,TOT,USD_CAP,A,1986,16845.22681,
CAN,GDP,TOT,USD_CAP,A,1987,17729.53463,
CAN,GDP,TOT,USD_CAP,A,1988,18917.51941,
CAN,GDP,TOT,USD_CAP,A,1989,19756.9713,
CAN,GDP,TOT,USD_CAP,A,1990,20223.08758,
CAN,GDP,TOT,USD_CAP,A,1991,20218.01579,
CAN,GDP,TOT,USD_CAP,A,1992,20619.41133,
CAN,GDP,TOT,USD_CAP,A,1993,21432.76516,
CAN,GDP,TOT,USD_CAP,A,1994,22625.12817,
CAN,GDP,TOT,USD_CAP,A,1995,23477.63429,
CAN,GDP,TOT,USD_CAP,A,1996,24041.98943,
CAN,GDP,TOT,USD_CAP,A,1997,25251.11685,
CAN,GDP,TOT,USD_CAP,A,1998,26310.95696,
CAN,GDP,TOT,USD_CAP,A,1999,27841.62958,
CAN,GDP,TOT,USD_CAP,A,2000,29363.14712,
CAN,GDP,TOT,USD_CAP,A,2001,30214.301,
CAN,GDP,TOT,USD_CAP,A,2002,30963.22201,
CAN,GDP,TOT,USD_CAP,A,2003,32333.60816,
CAN,GDP,TOT,USD_CAP,A,2004,33911.21829,
CAN,GDP,TOT,USD_CAP,A,2005,36327.66206,
CAN,GDP,TOT,USD_CAP,A,2006,38107.13624,
CAN,GDP,TOT,USD_CAP,A,2007,39555.5237,
CAN,GDP,TOT,USD_CAP,A,2008,40376.33017,
CAN,GDP,TOT,USD_CAP,A,2009,38893.72746,
CAN,GDP,TOT,USD_CAP,A,2010,40114.22204,
CAN,GDP,TOT,USD_CAP,A,2011,41666.71885,
CAN,GDP,TOT,USD_CAP,A,2012,42290.87908,
CAN,GDP,TOT,USD_CAP,A,2013,44298.51446,
CAN,GDP,TOT,USD_CAP,A,2014,45753.78294,
CAN,GDP,TOT,USD_CAP,A,2015,44670.05437,
CAN,GDP,TOT,USD_CAP,A,2016,46472.36877,
CAN,GDP,TOT,USD_CAP,A,2017,48316.71653,
CAN,GDP,TOT,USD_CAP,A,2018,50239.98828,
CAN,GDP,TOT,USD_CAP,A,2019,50660.58744,
CAN,GDP,TOT,USD_CAP,A,2020,48090.98651,